"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2008","2008","Female","F","< 1 year","1",Suppressed,2022889,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2008","2008","Female","F","1-4 years","1-4",15,7891294,Unreliable,0.1,0.3,0.0,0.0%
,"2008","2008","Female","F","5-14 years","5-14",27,19856962,0.1,0.1,0.2,0.0,0.0%
,"2008","2008","Female","F","15-24 years","15-24",54,21144714,0.3,0.2,0.3,0.0,0.0%
,"2008","2008","Female","F","25-34 years","25-34",98,20019411,0.5,0.4,0.6,0.0,0.0%
,"2008","2008","Female","F","35-44 years","35-44",302,21195733,1.4,1.3,1.6,0.1,0.1%
,"2008","2008","Female","F","45-54 years","45-54",908,22597536,4.0,3.8,4.3,0.1,0.2%
,"2008","2008","Female","F","55-64 years","55-64",1792,17681763,10.1,9.7,10.6,0.2,0.4%
,"2008","2008","Female","F","65-74 years","65-74",2250,11004244,20.4,19.6,21.3,0.4,0.5%
,"2008","2008","Female","F","75-84 years","75-84",2185,7656443,28.5,27.3,29.7,0.6,0.5%
,"2008","2008","Female","F","85+ years","85+",1046,3533026,29.6,27.8,31.4,0.9,0.2%
,"2008","2008","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2008","2008","Male","M","< 1 year","1",Suppressed,2109846,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2008","2008","Male","M","1-4 years","1-4",14,8247098,Unreliable,0.1,0.3,0.0,0.0%
,"2008","2008","Male","M","5-14 years","5-14",31,20779295,0.1,0.1,0.2,0.0,0.0%
,"2008","2008","Male","M","15-24 years","15-24",102,22246778,0.5,0.4,0.5,0.0,0.0%
,"2008","2008","Male","M","25-34 years","25-34",138,20188062,0.7,0.6,0.8,0.1,0.0%
,"2008","2008","Male","M","35-44 years","35-44",278,20996753,1.3,1.2,1.5,0.1,0.1%
,"2008","2008","Male","M","45-54 years","45-54",955,21862911,4.4,4.1,4.6,0.1,0.2%
,"2008","2008","Male","M","55-64 years","55-64",2179,16475300,13.2,12.7,13.8,0.3,0.5%
,"2008","2008","Male","M","65-74 years","65-74",2831,9501435,29.8,28.7,30.9,0.6,0.6%
,"2008","2008","Male","M","75-84 years","75-84",2663,5419659,49.1,47.3,51.0,1.0,0.6%
,"2008","2008","Male","M","85+ years","85+",1067,1662814,64.2,60.3,68.0,2.0,0.2%
,"2008","2008","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2009","2009","Female","F","< 1 year","1",0,1959169,Unreliable,0.0,0.0,0.0,0.0%
,"2009","2009","Female","F","1-4 years","1-4",18,7943260,Unreliable,0.1,0.4,0.1,0.0%
,"2009","2009","Female","F","5-14 years","5-14",37,19963476,0.2,0.1,0.3,0.0,0.0%
,"2009","2009","Female","F","15-24 years","15-24",54,21263984,0.3,0.2,0.3,0.0,0.0%
,"2009","2009","Female","F","25-34 years","25-34",100,20267430,0.5,0.4,0.6,0.0,0.0%
,"2009","2009","Female","F","35-44 years","35-44",309,20841610,1.5,1.3,1.6,0.1,0.1%
,"2009","2009","Female","F","45-54 years","45-54",927,22797854,4.1,3.8,4.3,0.1,0.2%
,"2009","2009","Female","F","55-64 years","55-64",1843,18329541,10.1,9.6,10.5,0.2,0.4%
,"2009","2009","Female","F","65-74 years","65-74",2206,11375157,19.4,18.6,20.2,0.4,0.5%
,"2009","2009","Female","F","75-84 years","75-84",2123,7590640,28.0,26.8,29.2,0.6,0.5%
,"2009","2009","Female","F","85+ years","85+",984,3631954,27.1,25.4,28.8,0.9,0.2%
